update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
3,3,1,0,0.9966666666666667,1.0,1,1.0,1.0,1.0,1,1.0,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
4,4,1,0,0.995,1.0,1,1.0,1.0,1.0,1,1.0,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
5,5,1,0,0.9933333333333333,1.0,1,1.0,1.0,1.0,1,1.0,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
6,6,2,0,0.9916666666666667,2.0,2,1.0,1.0,2.0,2,1.0,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
7,7,2,0,0.99,2.0,2,1.0,1.0,2.0,2,1.0,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
8,8,2,0,0.9883333333333333,2.0,2,1.0,1.0,2.0,2,1.0,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
9,9,3,0,0.9866666666666667,2.9999000000000002,3,0.9999666666666668,1.0,2.9999,3,0.999966666667,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
10,10,3,0,0.985,2.9999000000000002,3,0.9999666666666668,1.0,2.9999,3,0.999966666667,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
11,11,3,0,0.9833333333333333,2.9999000000000002,3,0.9999666666666668,1.0,2.9999,3,0.999966666667,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
12,12,4,0,0.9816666666666667,2.9999000000000002,3,0.7499750000000001,0.75,2.9999,3,0.749975,0.75
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
13,13,4,0,0.98,2.9999000000000002,3,0.7499750000000001,0.75,2.9999,3,0.749975,0.75
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
14,14,4,0,0.9783333333333333,2.9999000000000002,3,0.7499750000000001,0.75,2.9999,3,0.749975,0.75
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
15,15,5,0,0.9766666666666667,3.9999000000000002,4,0.79998,0.8,3.9999,4,0.79998,0.8
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
16,16,5,0,0.975,3.9999000000000002,4,0.79998,0.8,3.9999,4,0.79998,0.8
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
17,17,5,0,0.9733333333333334,3.9999000000000002,4,0.79998,0.8,3.9999,4,0.79998,0.8
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
18,18,6,0,0.9716666666666667,4.9999980100000005,5,0.8333330016666668,0.8333333333333334,4.99999801,5,0.833333001667,0.833333333333
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
