main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.1, eps_frames=100, eps_start=1.0, frames=200, games=500, gamma=0.99, log_interval=1, lr=0.01, model=None, save_interval=1, seed=7)

Environments loaded

Training status loaded

U 3 | F 3 | G 1 | D 0 | EPS 0.980 | L 1.000 | R 1.000 | Avg L 1.000 | Avg R 1.000
U 4 | F 4 | G 1 | D 0 | EPS 0.970 | L 1.000 | R 1.000 | Avg L 1.000 | Avg R 1.000
U 5 | F 5 | G 1 | D 0 | EPS 0.960 | L 1.000 | R 1.000 | Avg L 1.000 | Avg R 1.000
U 6 | F 6 | G 2 | D 0 | EPS 0.950 | L 2.000 | R 2.000 | Avg L 1.000 | Avg R 1.000
U 7 | F 7 | G 2 | D 0 | EPS 0.940 | L 2.000 | R 2.000 | Avg L 1.000 | Avg R 1.000
U 8 | F 8 | G 2 | D 0 | EPS 0.930 | L 2.000 | R 2.000 | Avg L 1.000 | Avg R 1.000
U 9 | F 9 | G 3 | D 0 | EPS 0.920 | L 3.000 | R 3.000 | Avg L 1.000 | Avg R 1.000
U 10 | F 10 | G 3 | D 0 | EPS 0.910 | L 3.000 | R 3.000 | Avg L 1.000 | Avg R 1.000
U 11 | F 11 | G 3 | D 0 | EPS 0.900 | L 3.000 | R 3.000 | Avg L 1.000 | Avg R 1.000
U 12 | F 12 | G 4 | D 0 | EPS 0.890 | L 3.000 | R 3.000 | Avg L 0.750 | Avg R 0.750
U 13 | F 13 | G 4 | D 0 | EPS 0.880 | L 3.000 | R 3.000 | Avg L 0.750 | Avg R 0.750
U 14 | F 14 | G 4 | D 0 | EPS 0.870 | L 3.000 | R 3.000 | Avg L 0.750 | Avg R 0.750
U 15 | F 15 | G 5 | D 0 | EPS 0.860 | L 4.000 | R 4.000 | Avg L 0.800 | Avg R 0.800
U 16 | F 16 | G 5 | D 0 | EPS 0.850 | L 4.000 | R 4.000 | Avg L 0.800 | Avg R 0.800
U 17 | F 17 | G 5 | D 0 | EPS 0.840 | L 4.000 | R 4.000 | Avg L 0.800 | Avg R 0.800
U 18 | F 18 | G 6 | D 0 | EPS 0.830 | L 5.000 | R 5.000 | Avg L 0.833 | Avg R 0.833
U 19 | F 19 | G 6 | D 0 | EPS 0.820 | L 5.000 | R 5.000 | Avg L 0.833 | Avg R 0.833
U 20 | F 20 | G 6 | D 0 | EPS 0.810 | L 5.000 | R 5.000 | Avg L 0.833 | Avg R 0.833
U 21 | F 21 | G 7 | D 0 | EPS 0.800 | L 6.000 | R 6.000 | Avg L 0.857 | Avg R 0.857
U 22 | F 22 | G 7 | D 0 | EPS 0.790 | L 6.000 | R 6.000 | Avg L 0.857 | Avg R 0.857
U 23 | F 23 | G 7 | D 0 | EPS 0.780 | L 6.000 | R 6.000 | Avg L 0.857 | Avg R 0.857
U 24 | F 24 | G 8 | D 0 | EPS 0.770 | L 6.000 | R 6.000 | Avg L 0.750 | Avg R 0.750
U 25 | F 25 | G 8 | D 0 | EPS 0.760 | L 6.000 | R 6.000 | Avg L 0.750 | Avg R 0.750
U 26 | F 26 | G 8 | D 0 | EPS 0.750 | L 6.000 | R 6.000 | Avg L 0.750 | Avg R 0.750
U 27 | F 27 | G 9 | D 0 | EPS 0.740 | L 6.000 | R 6.000 | Avg L 0.667 | Avg R 0.667
U 28 | F 28 | G 9 | D 0 | EPS 0.730 | L 6.000 | R 6.000 | Avg L 0.667 | Avg R 0.667
U 29 | F 29 | G 9 | D 0 | EPS 0.720 | L 6.000 | R 6.000 | Avg L 0.667 | Avg R 0.667
U 30 | F 30 | G 10 | D 0 | EPS 0.710 | L 6.000 | R 6.000 | Avg L 0.600 | Avg R 0.600
U 31 | F 31 | G 10 | D 0 | EPS 0.700 | L 6.000 | R 6.000 | Avg L 0.600 | Avg R 0.600
U 32 | F 32 | G 10 | D 0 | EPS 0.690 | L 6.000 | R 6.000 | Avg L 0.600 | Avg R 0.600
U 33 | F 33 | G 11 | D 0 | EPS 0.680 | L 7.000 | R 7.000 | Avg L 0.636 | Avg R 0.636
U 34 | F 34 | G 11 | D 0 | EPS 0.670 | L 7.000 | R 7.000 | Avg L 0.636 | Avg R 0.636
U 35 | F 35 | G 11 | D 0 | EPS 0.660 | L 7.000 | R 7.000 | Avg L 0.636 | Avg R 0.636
U 36 | F 36 | G 12 | D 0 | EPS 0.650 | L 7.000 | R 7.000 | Avg L 0.583 | Avg R 0.583
