main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.01, eps_frames=150000, eps_start=1.0, frames=1500000, games=500, log_interval=10000, lr=0.1, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 10000 | F 10000 | G 666 | D 1 | EPS 0.933 | L 349.313 | R 341.000 | Avg L 0.035 | Avg R 0.512
U 20000 | F 20000 | G 1333 | D 2 | EPS 0.867 | L 642.360 | R 688.000 | Avg L 0.032 | Avg R 0.516
U 30000 | F 30000 | G 2000 | D 3 | EPS 0.800 | L 980.347 | R 1014.000 | Avg L 0.033 | Avg R 0.507
U 40000 | F 40000 | G 2666 | D 4 | EPS 0.733 | L 1396.475 | R 1326.000 | Avg L 0.035 | Avg R 0.497
U 50000 | F 50000 | G 3333 | D 6 | EPS 0.667 | L 1738.931 | R 1662.000 | Avg L 0.035 | Avg R 0.499
U 60000 | F 60000 | G 4000 | D 7 | EPS 0.600 | L 2015.959 | R 1986.000 | Avg L 0.034 | Avg R 0.496
U 70000 | F 70000 | G 4666 | D 8 | EPS 0.533 | L 2391.064 | R 2314.000 | Avg L 0.034 | Avg R 0.496
U 80000 | F 80000 | G 5333 | D 9 | EPS 0.467 | L 3232.703 | R 2648.000 | Avg L 0.040 | Avg R 0.497
U 90000 | F 90000 | G 6000 | D 11 | EPS 0.400 | L 3948.671 | R 2968.000 | Avg L 0.044 | Avg R 0.495
U 100000 | F 100000 | G 6666 | D 12 | EPS 0.333 | L 3955.212 | R 3275.000 | Avg L 0.040 | Avg R 0.491
U 110000 | F 110000 | G 7333 | D 13 | EPS 0.267 | L 3172.240 | R 3619.000 | Avg L 0.029 | Avg R 0.494
U 120000 | F 120000 | G 8000 | D 14 | EPS 0.200 | L 3500.167 | R 3949.000 | Avg L 0.029 | Avg R 0.494
U 130000 | F 130000 | G 8666 | D 15 | EPS 0.133 | L -2537.515 | R 4275.000 | Avg L -0.020 | Avg R 0.493
U 140000 | F 140000 | G 9333 | D 17 | EPS 0.067 | L 12989.781 | R 4579.000 | Avg L 0.093 | Avg R 0.491
U 150000 | F 150000 | G 10000 | D 18 | EPS 0.010 | L 9057.519 | R 4908.000 | Avg L 0.060 | Avg R 0.491
U 160000 | F 160000 | G 10666 | D 19 | EPS 0.010 | L 36249.443 | R 4890.000 | Avg L 0.227 | Avg R 0.489
U 170000 | F 170000 | G 11333 | D 20 | EPS 0.010 | L 66939.111 | R 4834.000 | Avg L 0.394 | Avg R 0.483
U 180000 | F 180000 | G 12000 | D 22 | EPS 0.010 | L 23423.938 | R 4795.000 | Avg L 0.130 | Avg R 0.479
U 190000 | F 190000 | G 12666 | D 23 | EPS 0.010 | L 66406.121 | R 4802.000 | Avg L 0.350 | Avg R 0.480
U 200000 | F 200000 | G 13333 | D 24 | EPS 0.010 | L 56992.059 | R 4785.000 | Avg L 0.285 | Avg R 0.478
U 210000 | F 210000 | G 14000 | D 25 | EPS 0.010 | L 65720.878 | R 4793.000 | Avg L 0.313 | Avg R 0.479
U 220000 | F 220000 | G 14666 | D 27 | EPS 0.010 | L 87889.989 | R 4831.000 | Avg L 0.399 | Avg R 0.483
U 230000 | F 230000 | G 15333 | D 28 | EPS 0.010 | L 71174.163 | R 4821.000 | Avg L 0.309 | Avg R 0.482
U 240000 | F 240000 | G 16000 | D 29 | EPS 0.010 | L 76004.246 | R 4873.000 | Avg L 0.317 | Avg R 0.487
U 250000 | F 250000 | G 16666 | D 31 | EPS 0.010 | L 212088.963 | R 5002.000 | Avg L 0.848 | Avg R 0.500
U 260000 | F 260000 | G 17333 | D 32 | EPS 0.010 | L 42397.847 | R 5071.000 | Avg L 0.163 | Avg R 0.507
U 270000 | F 270000 | G 18000 | D 33 | EPS 0.010 | L 54519.647 | R 5133.000 | Avg L 0.202 | Avg R 0.513
U 280000 | F 280000 | G 18666 | D 34 | EPS 0.010 | L -13780.535 | R 5197.000 | Avg L -0.049 | Avg R 0.520
U 290000 | F 290000 | G 19333 | D 36 | EPS 0.010 | L 157989.715 | R 5249.000 | Avg L 0.545 | Avg R 0.525
U 300000 | F 300000 | G 20000 | D 37 | EPS 0.010 | L 22736.291 | R 5259.000 | Avg L 0.076 | Avg R 0.526
U 310000 | F 310000 | G 20666 | D 38 | EPS 0.010 | L 17330.387 | R 5295.000 | Avg L 0.056 | Avg R 0.529
U 320000 | F 320000 | G 21333 | D 40 | EPS 0.010 | L 67142.214 | R 5432.000 | Avg L 0.210 | Avg R 0.543
U 330000 | F 330000 | G 22000 | D 41 | EPS 0.010 | L -122589.792 | R 5557.000 | Avg L -0.371 | Avg R 0.556
U 340000 | F 340000 | G 22666 | D 42 | EPS 0.010 | L -224318.384 | R 5575.000 | Avg L -0.660 | Avg R 0.557
