main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.01, eps_frames=200, eps_start=1.0, frames=1000, games=500, gamma=0.99, log_interval=1, lr=1e-05, model=None, save_interval=1, seed=7)

Environments loaded

Training status loaded

U 3 | F 3 | G 1 | D 0 | EPS 0.990 | L 0.490 | R 1.000 | Avg L 0.490 | Avg R 1.000
U 4 | F 4 | G 1 | D 0 | EPS 0.985 | L 0.490 | R 1.000 | Avg L 0.490 | Avg R 1.000
U 5 | F 5 | G 1 | D 0 | EPS 0.980 | L 0.490 | R 1.000 | Avg L 0.490 | Avg R 1.000
U 6 | F 6 | G 2 | D 0 | EPS 0.975 | L 0.980 | R 2.000 | Avg L 0.490 | Avg R 1.000
U 7 | F 7 | G 2 | D 0 | EPS 0.970 | L 0.980 | R 2.000 | Avg L 0.490 | Avg R 1.000
U 8 | F 8 | G 2 | D 0 | EPS 0.965 | L 0.980 | R 2.000 | Avg L 0.490 | Avg R 1.000
U 9 | F 9 | G 3 | D 0 | EPS 0.960 | L 1.470 | R 3.000 | Avg L 0.490 | Avg R 1.000
U 10 | F 10 | G 3 | D 0 | EPS 0.955 | L 1.470 | R 3.000 | Avg L 0.490 | Avg R 1.000
U 11 | F 11 | G 3 | D 0 | EPS 0.950 | L 1.470 | R 3.000 | Avg L 0.490 | Avg R 1.000
U 12 | F 12 | G 4 | D 0 | EPS 0.945 | L 0.960 | R 3.000 | Avg L 0.240 | Avg R 0.750
U 13 | F 13 | G 4 | D 0 | EPS 0.940 | L 0.960 | R 3.000 | Avg L 0.240 | Avg R 0.750
U 14 | F 14 | G 4 | D 0 | EPS 0.935 | L 0.960 | R 3.000 | Avg L 0.240 | Avg R 0.750
U 15 | F 15 | G 5 | D 0 | EPS 0.930 | L 1.450 | R 4.000 | Avg L 0.290 | Avg R 0.800
U 16 | F 16 | G 5 | D 0 | EPS 0.925 | L 1.450 | R 4.000 | Avg L 0.290 | Avg R 0.800
