update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns
15,15,1,0,0.9953333333333333,1.0,1,0.06666666666666667,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns
16,16,1,0,0.995,1.0,1,0.0625,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns
17,17,1,0,0.9946666666666667,1.0,1,0.058823529411764705,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns
18,18,1,0,0.9943333333333333,1.0,1,0.05555555555555555,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns
19,19,1,0,0.994,1.0,1,0.05263157894736842,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns
20,20,1,0,0.9936666666666667,1.0,1,0.05,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns
21,21,1,0,0.9933333333333333,1.0,1,0.047619047619047616,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns
22,22,1,0,0.993,1.0,1,0.045454545454545456,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns
23,23,1,0,0.9926666666666667,1.0,1,0.043478260869565216,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns
24,24,1,0,0.9923333333333333,1.0,1,0.041666666666666664,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns
25,25,1,0,0.992,1.0,1,0.04,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns
26,26,1,0,0.9916666666666667,1.0,1,0.038461538461538464,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns
27,27,1,0,0.9913333333333333,1.0,1,0.037037037037037035,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns
28,28,1,0,0.991,1.0,1,0.03571428571428571,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns
29,29,1,0,0.9906666666666667,1.0,1,0.034482758620689655,1.0
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns
30,30,2,0,0.9903333333333333,1.0,1,0.03333333333333333,0.5
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns
31,31,2,0,0.99,1.0,1,0.03225806451612903,0.5
update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns
32,32,2,0,0.9896666666666667,1.0,1,0.03125,0.5
