main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.01, eps_frames=150000, eps_start=1.0, frames=1500000, games=500, log_interval=10000, lr=0.1, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 10000 | F 10000 | G 666 | D 1 | EPS 0.933 | L 349.313 | R 290.000 | Avg L 0.035 | Avg R 2.900
U 20000 | F 20000 | G 1333 | D 2 | EPS 0.867 | L 642.360 | R 643.000 | Avg L 0.032 | Avg R 6.430
U 30000 | F 30000 | G 2000 | D 3 | EPS 0.800 | L 980.347 | R 970.000 | Avg L 0.033 | Avg R 9.700
U 40000 | F 40000 | G 2666 | D 4 | EPS 0.733 | L 1396.475 | R 1281.000 | Avg L 0.035 | Avg R 12.810
U 50000 | F 50000 | G 3333 | D 5 | EPS 0.667 | L 1738.931 | R 1606.000 | Avg L 0.035 | Avg R 16.060
U 60000 | F 60000 | G 4000 | D 6 | EPS 0.600 | L 2015.959 | R 1935.000 | Avg L 0.034 | Avg R 19.350
U 70000 | F 70000 | G 4666 | D 8 | EPS 0.533 | L 2391.064 | R 2262.000 | Avg L 0.034 | Avg R 22.620
U 80000 | F 80000 | G 5333 | D 11 | EPS 0.467 | L 3232.703 | R 2601.000 | Avg L 0.040 | Avg R 26.010
U 90000 | F 90000 | G 6000 | D 12 | EPS 0.400 | L 3948.671 | R 2926.000 | Avg L 0.044 | Avg R 29.260
U 100000 | F 100000 | G 6666 | D 13 | EPS 0.333 | L 3955.212 | R 3227.000 | Avg L 0.040 | Avg R 32.270
U 110000 | F 110000 | G 7333 | D 14 | EPS 0.267 | L 3172.240 | R 3559.000 | Avg L 0.029 | Avg R 35.590
U 120000 | F 120000 | G 8000 | D 15 | EPS 0.200 | L 3500.167 | R 3903.000 | Avg L 0.029 | Avg R 39.030
U 130000 | F 130000 | G 8666 | D 16 | EPS 0.133 | L -2537.515 | R 4235.000 | Avg L -0.020 | Avg R 42.350
U 140000 | F 140000 | G 9333 | D 18 | EPS 0.067 | L 12989.781 | R 4539.000 | Avg L 0.093 | Avg R 45.390
U 150000 | F 150000 | G 10000 | D 19 | EPS 0.010 | L 9057.519 | R 4852.000 | Avg L 0.060 | Avg R 48.520
U 160000 | F 160000 | G 10666 | D 20 | EPS 0.010 | L 36249.443 | R 5183.000 | Avg L 0.227 | Avg R 51.830
U 170000 | F 170000 | G 11333 | D 22 | EPS 0.010 | L 66939.111 | R 5484.000 | Avg L 0.394 | Avg R 54.840
U 180000 | F 180000 | G 12000 | D 23 | EPS 0.010 | L 23423.938 | R 5768.000 | Avg L 0.130 | Avg R 57.680
U 190000 | F 190000 | G 12666 | D 24 | EPS 0.010 | L 66406.121 | R 6076.000 | Avg L 0.350 | Avg R 60.760
U 200000 | F 200000 | G 13333 | D 25 | EPS 0.010 | L 56992.059 | R 6404.000 | Avg L 0.285 | Avg R 64.040
U 210000 | F 210000 | G 14000 | D 27 | EPS 0.010 | L 65720.878 | R 6731.000 | Avg L 0.313 | Avg R 67.310
U 220000 | F 220000 | G 14666 | D 28 | EPS 0.010 | L 87889.989 | R 7094.000 | Avg L 0.399 | Avg R 70.940
U 230000 | F 230000 | G 15333 | D 30 | EPS 0.010 | L 71174.163 | R 7422.000 | Avg L 0.309 | Avg R 74.220
U 240000 | F 240000 | G 16000 | D 31 | EPS 0.010 | L 76004.246 | R 7780.000 | Avg L 0.317 | Avg R 77.800
U 250000 | F 250000 | G 16666 | D 32 | EPS 0.010 | L 212088.963 | R 8211.000 | Avg L 0.848 | Avg R 82.110
U 260000 | F 260000 | G 17333 | D 33 | EPS 0.010 | L 42397.847 | R 8628.000 | Avg L 0.163 | Avg R 86.280
U 270000 | F 270000 | G 18000 | D 35 | EPS 0.010 | L 54519.647 | R 9027.000 | Avg L 0.202 | Avg R 90.270
U 280000 | F 280000 | G 18666 | D 36 | EPS 0.010 | L -13780.535 | R 9418.000 | Avg L -0.049 | Avg R 94.180
U 290000 | F 290000 | G 19333 | D 37 | EPS 0.010 | L 157989.715 | R 9778.000 | Avg L 0.545 | Avg R 97.780
U 300000 | F 300000 | G 20000 | D 38 | EPS 0.010 | L 22736.291 | R 10115.000 | Avg L 0.076 | Avg R 101.150
U 310000 | F 310000 | G 20666 | D 40 | EPS 0.010 | L 17330.387 | R 10471.000 | Avg L 0.056 | Avg R 104.710
U 320000 | F 320000 | G 21333 | D 41 | EPS 0.010 | L 67142.214 | R 10891.000 | Avg L 0.210 | Avg R 108.910
U 330000 | F 330000 | G 22000 | D 42 | EPS 0.010 | L -122589.792 | R 11304.000 | Avg L -0.371 | Avg R 113.040
U 340000 | F 340000 | G 22666 | D 43 | EPS 0.010 | L -224318.384 | R 11653.000 | Avg L -0.660 | Avg R 116.530
