main.py --seed 7 --lr 0.1

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.01, eps_frames=750000, eps_start=1.0, frames=1500000, games=500, gamma=0.99, log_interval=10000, lr=0.1, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 10000 | F 10000 | G 666 | D 1 | EPS 0.987 | L 325.000 | R 325.000 | Avg L 0.033 | Avg R 0.488
U 20000 | F 20000 | G 1333 | D 2 | EPS 0.973 | L 682.000 | R 516.000 | Avg L 0.034 | Avg R 0.516
U 30000 | F 30000 | G 2000 | D 3 | EPS 0.960 | L 996.000 | R 499.000 | Avg L 0.033 | Avg R 0.499
U 40000 | F 40000 | G 2666 | D 4 | EPS 0.947 | L 1331.000 | R 499.000 | Avg L 0.033 | Avg R 0.499
U 50000 | F 50000 | G 3333 | D 6 | EPS 0.933 | L 1657.000 | R 492.000 | Avg L 0.033 | Avg R 0.492
U 60000 | F 60000 | G 4000 | D 7 | EPS 0.920 | L 1980.000 | R 487.000 | Avg L 0.033 | Avg R 0.487
U 70000 | F 70000 | G 4666 | D 8 | EPS 0.907 | L 2288.000 | R 462.000 | Avg L 0.033 | Avg R 0.462
U 80000 | F 80000 | G 5333 | D 9 | EPS 0.893 | L 2627.000 | R 488.000 | Avg L 0.033 | Avg R 0.488
U 90000 | F 90000 | G 6000 | D 11 | EPS 0.880 | L 2948.000 | R 490.000 | Avg L 0.033 | Avg R 0.490
U 100000 | F 100000 | G 6666 | D 12 | EPS 0.867 | L 3270.000 | R 485.000 | Avg L 0.033 | Avg R 0.485
U 110000 | F 110000 | G 7333 | D 13 | EPS 0.853 | L 3609.000 | R 516.000 | Avg L 0.033 | Avg R 0.516
U 120000 | F 120000 | G 8000 | D 14 | EPS 0.840 | L 3940.000 | R 505.000 | Avg L 0.033 | Avg R 0.505
U 130000 | F 130000 | G 8666 | D 16 | EPS 0.827 | L 4255.000 | R 490.000 | Avg L 0.033 | Avg R 0.490
U 140000 | F 140000 | G 9333 | D 17 | EPS 0.813 | L 4565.000 | R 464.000 | Avg L 0.033 | Avg R 0.464
U 150000 | F 150000 | G 10000 | D 18 | EPS 0.800 | L 4883.000 | R 479.000 | Avg L 0.033 | Avg R 0.479
U 160000 | F 160000 | G 10666 | D 19 | EPS 0.787 | L 5224.000 | R 497.000 | Avg L 0.033 | Avg R 0.497
U 170000 | F 170000 | G 11333 | D 21 | EPS 0.773 | L 5564.999 | R 503.000 | Avg L 0.033 | Avg R 0.503
U 180000 | F 180000 | G 12000 | D 22 | EPS 0.760 | L 5911.999 | R 513.000 | Avg L 0.033 | Avg R 0.513
U 190000 | F 190000 | G 12666 | D 23 | EPS 0.747 | L 6241.999 | R 503.000 | Avg L 0.033 | Avg R 0.503
U 200000 | F 200000 | G 13333 | D 25 | EPS 0.733 | L 6554.999 | R 474.000 | Avg L 0.033 | Avg R 0.474
U 210000 | F 210000 | G 14000 | D 26 | EPS 0.720 | L 6854.999 | R 457.000 | Avg L 0.033 | Avg R 0.457
U 220000 | F 220000 | G 14666 | D 27 | EPS 0.707 | L 7179.999 | R 481.000 | Avg L 0.033 | Avg R 0.481
U 230000 | F 230000 | G 15333 | D 29 | EPS 0.693 | L 7512.999 | R 497.000 | Avg L 0.033 | Avg R 0.497
U 240000 | F 240000 | G 16000 | D 30 | EPS 0.680 | L 7848.999 | R 502.000 | Avg L 0.033 | Avg R 0.502
U 250000 | F 250000 | G 16666 | D 32 | EPS 0.667 | L 8182.999 | R 519.000 | Avg L 0.033 | Avg R 0.519
U 260000 | F 260000 | G 17333 | D 34 | EPS 0.653 | L 8503.999 | R 484.000 | Avg L 0.033 | Avg R 0.484
U 270000 | F 270000 | G 18000 | D 35 | EPS 0.640 | L 8809.999 | R 468.000 | Avg L 0.033 | Avg R 0.468
U 280000 | F 280000 | G 18666 | D 36 | EPS 0.627 | L 9124.999 | R 459.000 | Avg L 0.033 | Avg R 0.459
U 290000 | F 290000 | G 19333 | D 38 | EPS 0.613 | L 9433.999 | R 454.000 | Avg L 0.033 | Avg R 0.454
U 300000 | F 300000 | G 20000 | D 39 | EPS 0.600 | L 9763.999 | R 496.000 | Avg L 0.033 | Avg R 0.496
U 310000 | F 310000 | G 20666 | D 40 | EPS 0.587 | L 10098.999 | R 488.000 | Avg L 0.033 | Avg R 0.488
U 320000 | F 320000 | G 21333 | D 42 | EPS 0.573 | L 10412.999 | R 482.000 | Avg L 0.033 | Avg R 0.482
U 330000 | F 330000 | G 22000 | D 43 | EPS 0.560 | L 10747.986 | R 498.000 | Avg L 0.033 | Avg R 0.498
U 340000 | F 340000 | G 22666 | D 44 | EPS 0.547 | L 11086.986 | R 520.000 | Avg L 0.033 | Avg R 0.520
U 350000 | F 350000 | G 23333 | D 46 | EPS 0.533 | L 11422.986 | R 499.000 | Avg L 0.033 | Avg R 0.499
U 360000 | F 360000 | G 24000 | D 47 | EPS 0.520 | L 11718.986 | R 466.000 | Avg L 0.033 | Avg R 0.466
U 370000 | F 370000 | G 24666 | D 48 | EPS 0.507 | L 12020.986 | R 457.000 | Avg L 0.032 | Avg R 0.457
U 380000 | F 380000 | G 25333 | D 50 | EPS 0.493 | L 12347.986 | R 477.000 | Avg L 0.032 | Avg R 0.477
U 390000 | F 390000 | G 26000 | D 51 | EPS 0.480 | L 12672.382 | R 479.000 | Avg L 0.032 | Avg R 0.479
U 400000 | F 400000 | G 26666 | D 53 | EPS 0.467 | L 12993.382 | R 485.000 | Avg L 0.032 | Avg R 0.485
U 410000 | F 410000 | G 27333 | D 54 | EPS 0.453 | L 13317.382 | R 477.000 | Avg L 0.032 | Avg R 0.477
U 420000 | F 420000 | G 28000 | D 55 | EPS 0.440 | L 13635.382 | R 482.000 | Avg L 0.032 | Avg R 0.482
U 430000 | F 430000 | G 28666 | D 57 | EPS 0.427 | L 13964.382 | R 480.000 | Avg L 0.032 | Avg R 0.480
U 440000 | F 440000 | G 29333 | D 58 | EPS 0.413 | L 14287.382 | R 483.000 | Avg L 0.032 | Avg R 0.483
U 450000 | F 450000 | G 30000 | D 59 | EPS 0.400 | L 14620.382 | R 489.000 | Avg L 0.032 | Avg R 0.489
U 460000 | F 460000 | G 30666 | D 61 | EPS 0.387 | L 14934.382 | R 484.000 | Avg L 0.032 | Avg R 0.484
U 470000 | F 470000 | G 31333 | D 62 | EPS 0.373 | L 15257.382 | R 468.000 | Avg L 0.032 | Avg R 0.468
U 480000 | F 480000 | G 32000 | D 64 | EPS 0.360 | L 15562.382 | R 456.000 | Avg L 0.032 | Avg R 0.456
