main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.01, eps_frames=450, eps_start=1.0, frames=1500, games=500, gamma=0.99, log_interval=1, lr=0.01, model=None, save_interval=1, seed=7)

Environments loaded

Training status loaded

U 3 | F 3 | G 1 | D 0 | EPS 0.993 | L 1.000 | R 1.000 | Avg L 1.000 | Avg R 1.000
U 4 | F 4 | G 1 | D 0 | EPS 0.993 | L 1.000 | R 1.000 | Avg L 1.000 | Avg R 1.000
U 5 | F 5 | G 1 | D 0 | EPS 0.991 | L 1.000 | R 1.000 | Avg L 1.000 | Avg R 1.000
U 6 | F 6 | G 1 | D 0 | EPS 0.989 | L 1.000 | R 1.000 | Avg L 1.000 | Avg R 1.000
U 6 | F 6 | G 2 | D 0 | EPS 0.987 | L 1.000 | R 1.000 | Avg L 0.500 | Avg R 0.500
U 7 | F 7 | G 2 | D 0 | EPS 0.987 | L 1.000 | R 1.000 | Avg L 0.500 | Avg R 0.500
U 8 | F 8 | G 2 | D 0 | EPS 0.984 | L 1.000 | R 1.000 | Avg L 0.500 | Avg R 0.500
U 9 | F 9 | G 2 | D 0 | EPS 0.982 | L 1.000 | R 1.000 | Avg L 0.500 | Avg R 0.500
U 9 | F 9 | G 3 | D 0 | EPS 0.980 | L 1.000 | R 1.000 | Avg L 0.333 | Avg R 0.333
U 10 | F 10 | G 3 | D 0 | EPS 0.980 | L 1.000 | R 1.000 | Avg L 0.333 | Avg R 0.333
U 11 | F 11 | G 3 | D 0 | EPS 0.978 | L 1.000 | R 1.000 | Avg L 0.333 | Avg R 0.333
U 12 | F 12 | G 3 | D 0 | EPS 0.976 | L 1.000 | R 1.000 | Avg L 0.333 | Avg R 0.333
U 12 | F 12 | G 4 | D 0 | EPS 0.973 | L 2.000 | R 2.000 | Avg L 0.500 | Avg R 0.500
U 13 | F 13 | G 4 | D 0 | EPS 0.973 | L 2.000 | R 2.000 | Avg L 0.500 | Avg R 0.500
U 14 | F 14 | G 4 | D 0 | EPS 0.971 | L 2.000 | R 2.000 | Avg L 0.500 | Avg R 0.500
U 15 | F 15 | G 4 | D 0 | EPS 0.969 | L 2.000 | R 2.000 | Avg L 0.500 | Avg R 0.500
U 15 | F 15 | G 5 | D 0 | EPS 0.967 | L 2.000 | R 2.000 | Avg L 0.400 | Avg R 0.400
U 16 | F 16 | G 5 | D 0 | EPS 0.967 | L 2.000 | R 2.000 | Avg L 0.400 | Avg R 0.400
U 17 | F 17 | G 5 | D 0 | EPS 0.964 | L 2.000 | R 2.000 | Avg L 0.400 | Avg R 0.400
U 18 | F 18 | G 5 | D 0 | EPS 0.962 | L 2.000 | R 2.000 | Avg L 0.400 | Avg R 0.400
U 18 | F 18 | G 6 | D 0 | EPS 0.960 | L 2.980 | R 3.000 | Avg L 0.497 | Avg R 0.500
U 19 | F 19 | G 6 | D 0 | EPS 0.960 | L 2.980 | R 3.000 | Avg L 0.497 | Avg R 0.500
U 20 | F 20 | G 6 | D 0 | EPS 0.958 | L 2.980 | R 3.000 | Avg L 0.497 | Avg R 0.500
U 21 | F 21 | G 6 | D 0 | EPS 0.956 | L 2.980 | R 3.000 | Avg L 0.497 | Avg R 0.500
U 21 | F 21 | G 7 | D 0 | EPS 0.953 | L 2.960 | R 3.000 | Avg L 0.423 | Avg R 0.429
U 22 | F 22 | G 7 | D 0 | EPS 0.953 | L 2.960 | R 3.000 | Avg L 0.423 | Avg R 0.429
U 23 | F 23 | G 7 | D 0 | EPS 0.951 | L 2.960 | R 3.000 | Avg L 0.423 | Avg R 0.429
U 24 | F 24 | G 7 | D 0 | EPS 0.949 | L 2.960 | R 3.000 | Avg L 0.423 | Avg R 0.429
U 24 | F 24 | G 8 | D 0 | EPS 0.947 | L 2.960 | R 3.000 | Avg L 0.370 | Avg R 0.375
U 25 | F 25 | G 8 | D 0 | EPS 0.947 | L 2.960 | R 3.000 | Avg L 0.370 | Avg R 0.375
U 26 | F 26 | G 8 | D 0 | EPS 0.944 | L 2.960 | R 3.000 | Avg L 0.370 | Avg R 0.375
U 27 | F 27 | G 8 | D 0 | EPS 0.942 | L 2.960 | R 3.000 | Avg L 0.370 | Avg R 0.375
U 27 | F 27 | G 9 | D 0 | EPS 0.940 | L 3.960 | R 4.000 | Avg L 0.440 | Avg R 0.444
U 28 | F 28 | G 9 | D 0 | EPS 0.940 | L 3.960 | R 4.000 | Avg L 0.440 | Avg R 0.444
U 29 | F 29 | G 9 | D 0 | EPS 0.938 | L 3.960 | R 4.000 | Avg L 0.440 | Avg R 0.444
U 30 | F 30 | G 9 | D 0 | EPS 0.936 | L 3.960 | R 4.000 | Avg L 0.440 | Avg R 0.444
U 30 | F 30 | G 10 | D 0 | EPS 0.933 | L 3.960 | R 4.000 | Avg L 0.396 | Avg R 0.400
U 31 | F 31 | G 10 | D 0 | EPS 0.933 | L 3.960 | R 4.000 | Avg L 0.396 | Avg R 0.400
U 32 | F 32 | G 10 | D 0 | EPS 0.931 | L 3.960 | R 4.000 | Avg L 0.396 | Avg R 0.400
U 33 | F 33 | G 10 | D 0 | EPS 0.929 | L 3.960 | R 4.000 | Avg L 0.396 | Avg R 0.400
U 33 | F 33 | G 11 | D 0 | EPS 0.927 | L 3.951 | R 4.000 | Avg L 0.359 | Avg R 0.364
U 34 | F 34 | G 11 | D 0 | EPS 0.927 | L 3.951 | R 4.000 | Avg L 0.359 | Avg R 0.364
U 35 | F 35 | G 11 | D 0 | EPS 0.924 | L 3.951 | R 4.000 | Avg L 0.359 | Avg R 0.364
U 36 | F 36 | G 11 | D 0 | EPS 0.922 | L 3.951 | R 4.000 | Avg L 0.359 | Avg R 0.364
U 36 | F 36 | G 12 | D 0 | EPS 0.920 | L 3.950 | R 4.000 | Avg L 0.329 | Avg R 0.333
U 37 | F 37 | G 12 | D 0 | EPS 0.920 | L 3.950 | R 4.000 | Avg L 0.329 | Avg R 0.333
U 38 | F 38 | G 12 | D 0 | EPS 0.918 | L 3.950 | R 4.000 | Avg L 0.329 | Avg R 0.333
U 39 | F 39 | G 12 | D 0 | EPS 0.916 | L 3.950 | R 4.000 | Avg L 0.329 | Avg R 0.333
U 39 | F 39 | G 13 | D 0 | EPS 0.913 | L 3.950 | R 4.000 | Avg L 0.304 | Avg R 0.308
U 40 | F 40 | G 13 | D 0 | EPS 0.913 | L 3.950 | R 4.000 | Avg L 0.304 | Avg R 0.308
U 41 | F 41 | G 13 | D 0 | EPS 0.911 | L 3.950 | R 4.000 | Avg L 0.304 | Avg R 0.308
U 42 | F 42 | G 13 | D 0 | EPS 0.909 | L 3.950 | R 4.000 | Avg L 0.304 | Avg R 0.308
U 42 | F 42 | G 14 | D 0 | EPS 0.907 | L 3.950 | R 4.000 | Avg L 0.282 | Avg R 0.286
U 43 | F 43 | G 14 | D 0 | EPS 0.907 | L 3.950 | R 4.000 | Avg L 0.282 | Avg R 0.286
U 44 | F 44 | G 14 | D 0 | EPS 0.904 | L 3.950 | R 4.000 | Avg L 0.282 | Avg R 0.286
U 45 | F 45 | G 14 | D 0 | EPS 0.902 | L 3.950 | R 4.000 | Avg L 0.282 | Avg R 0.286
U 45 | F 45 | G 15 | D 0 | EPS 0.900 | L 4.950 | R 5.000 | Avg L 0.330 | Avg R 0.333
U 46 | F 46 | G 15 | D 0 | EPS 0.900 | L 4.950 | R 5.000 | Avg L 0.330 | Avg R 0.333
U 47 | F 47 | G 15 | D 0 | EPS 0.898 | L 4.950 | R 5.000 | Avg L 0.330 | Avg R 0.333
U 48 | F 48 | G 15 | D 0 | EPS 0.896 | L 4.950 | R 5.000 | Avg L 0.330 | Avg R 0.333
U 48 | F 48 | G 16 | D 0 | EPS 0.893 | L 4.950 | R 5.000 | Avg L 0.309 | Avg R 0.312
U 49 | F 49 | G 16 | D 0 | EPS 0.893 | L 4.950 | R 5.000 | Avg L 0.309 | Avg R 0.312
U 50 | F 50 | G 16 | D 0 | EPS 0.891 | L 4.950 | R 5.000 | Avg L 0.309 | Avg R 0.312
U 51 | F 51 | G 16 | D 0 | EPS 0.889 | L 4.950 | R 5.000 | Avg L 0.309 | Avg R 0.312
U 51 | F 51 | G 17 | D 0 | EPS 0.887 | L 4.950 | R 5.000 | Avg L 0.291 | Avg R 0.294
U 52 | F 52 | G 17 | D 0 | EPS 0.887 | L 4.950 | R 5.000 | Avg L 0.291 | Avg R 0.294
U 53 | F 53 | G 17 | D 0 | EPS 0.884 | L 4.950 | R 5.000 | Avg L 0.291 | Avg R 0.294
U 54 | F 54 | G 17 | D 0 | EPS 0.882 | L 4.950 | R 5.000 | Avg L 0.291 | Avg R 0.294
U 54 | F 54 | G 18 | D 0 | EPS 0.880 | L 5.950 | R 6.000 | Avg L 0.331 | Avg R 0.333
U 55 | F 55 | G 18 | D 0 | EPS 0.880 | L 5.950 | R 6.000 | Avg L 0.331 | Avg R 0.333
U 56 | F 56 | G 18 | D 0 | EPS 0.878 | L 5.950 | R 6.000 | Avg L 0.331 | Avg R 0.333
U 57 | F 57 | G 18 | D 0 | EPS 0.876 | L 5.950 | R 6.000 | Avg L 0.331 | Avg R 0.333
U 57 | F 57 | G 19 | D 0 | EPS 0.873 | L 5.950 | R 6.000 | Avg L 0.313 | Avg R 0.316
U 58 | F 58 | G 19 | D 0 | EPS 0.873 | L 5.950 | R 6.000 | Avg L 0.313 | Avg R 0.316
U 59 | F 59 | G 19 | D 0 | EPS 0.871 | L 5.950 | R 6.000 | Avg L 0.313 | Avg R 0.316
U 60 | F 60 | G 19 | D 0 | EPS 0.869 | L 5.950 | R 6.000 | Avg L 0.313 | Avg R 0.316
U 60 | F 60 | G 20 | D 0 | EPS 0.867 | L 5.950 | R 6.000 | Avg L 0.297 | Avg R 0.300
U 61 | F 61 | G 20 | D 0 | EPS 0.867 | L 5.950 | R 6.000 | Avg L 0.297 | Avg R 0.300
U 62 | F 62 | G 20 | D 0 | EPS 0.864 | L 5.950 | R 6.000 | Avg L 0.297 | Avg R 0.300
U 63 | F 63 | G 20 | D 0 | EPS 0.862 | L 5.950 | R 6.000 | Avg L 0.297 | Avg R 0.300
U 63 | F 63 | G 21 | D 0 | EPS 0.860 | L 6.950 | R 7.000 | Avg L 0.331 | Avg R 0.333
U 64 | F 64 | G 21 | D 0 | EPS 0.860 | L 6.950 | R 7.000 | Avg L 0.331 | Avg R 0.333
U 65 | F 65 | G 21 | D 0 | EPS 0.858 | L 6.950 | R 7.000 | Avg L 0.331 | Avg R 0.333
U 66 | F 66 | G 21 | D 0 | EPS 0.856 | L 6.950 | R 7.000 | Avg L 0.331 | Avg R 0.333
